VCHAN_35_40_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_41_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_42_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_43_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_43_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_44_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_45_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_45_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_46_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_46_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_47_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_47_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_48_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_48_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_49_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_35_50_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_2_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_3_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_3_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_4_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_5_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_5_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_6_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_6_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_7_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_8_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_9_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_10_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_10_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_11_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_11_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_12_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_13_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_13_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_14_0, basecost = 1.0, capacity = 1, occupation = 3, type = VCHAN
VCHAN_36_14_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_15_0, basecost = 1.0, capacity = 1, occupation = 3, type = VCHAN
VCHAN_36_15_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_16_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_16_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_17_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_17_1, basecost = 1.0, capacity = 1, occupation = 3, type = VCHAN
VCHAN_36_18_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_19_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_20_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_22_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_23_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_28_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_29_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_30_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_31_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_31_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_32_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_33_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_33_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_34_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_35_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_36_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_36_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_37_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_37_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_38_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_38_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_39_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_39_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_40_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_41_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_42_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_43_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_43_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_44_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_44_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_45_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_45_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_46_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_46_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_47_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_47_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_48_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_48_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_49_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_49_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_36_50_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_2_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_3_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_3_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_4_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_5_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_5_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_6_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_7_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_8_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_8_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_9_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_9_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_10_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_11_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_11_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_12_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_13_0, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_13_1, basecost = 1.0, capacity = 1, occupation = 2, type = VCHAN
VCHAN_37_14_0, basecost = 1.0, capacity = 1, occupation = 3, type = VCHAN
